Date,AAPL,MSFT,JPM,GS,NKE,DIS,IBM,INTC,KO,MCD,MMM,V,WMT,CVX,XOM,CAT,BA,AXP,HD,UNH,PG,TRV,VZ,CSCO,MRK,JNJ,AMGN,CRM,HON
2010-01-04,6.412384510040283,23.07737922668457,28.27919578552246,129.95758056640625,13.1788911819458,27.29123306274414,72.46831512451172,13.519420623779297,17.31633186340332,40.332393646240234,42.78058624267578,19.60523223876953,12.93382740020752,41.265464782714844,37.6309700012207,39.124393463134766,43.777557373046875,32.380943298339844,19.441808700561523,24.407695770263672,37.8610954284668,34.17898178100586,13.316374778747559,15.889595031738281,20.46076202392578,40.204715728759766,39.04116439819336,18.43435287475586,25.45139503479004
2010-01-05,6.423468589782715,23.0848388671875,28.826963424682617,132.25527954101562,13.231322288513184,27.22315216064453,71.59291076660156,13.512948989868164,17.106861114501953,40.024024963378906,42.512630462646484,19.380571365356445,12.805039405822754,41.5577507019043,37.77790832519531,39.592140197753906,45.21134567260742,32.30973815917969,19.584218978881836,24.368982315063477,37.873477935791016,33.36928939819336,13.340386390686035,15.818804740905762,20.543691635131836,39.7385139465332,38.702980041503906,18.355512619018555,25.501855850219727
2010-01-06,6.321295738220215,22.943172454833984,28.985366821289062,130.8435821533203,13.150657653808594,27.078481674194336,71.12783813476562,13.467628479003906,17.10079574584961,39.47795104980469,43.11552810668945,19.120328903198242,12.77641487121582,41.56293869018555,38.104408264160156,39.71241760253906,46.58279800415039,32.83199691772461,19.516407012939453,24.608957290649414,37.6938362121582,32.89582061767578,12.956793785095215,15.715836524963379,20.820106506347656,40.06173324584961,38.412109375,18.323482513427734,25.501855850219727
2010-01-07,6.309608459472656,22.704566955566406,29.55953598022461,133.40396118164062,13.2797212600708,27.086992263793945,70.88162994384766,13.33813190460205,17.05828857421875,39.767051696777344,43.14645767211914,19.298269271850586,12.783567428588867,41.40638732910156,37.98469924926758,39.872806549072266,48.46855545043945,33.364501953125,19.746973037719727,25.553369522094727,37.48942565917969,33.36928939819336,12.879676818847656,15.786626815795898,20.853281021118164,39.775814056396484,38.06038284301758,18.24217414855957,25.993850708007812
2010-01-08,6.351558208465576,22.86115074157715,29.486936569213867,130.8811492919922,13.25350570678711,27.129535675048828,71.59291076660156,13.487053871154785,16.742557525634766,39.72849655151367,43.45049285888672,19.351646423339844,12.719178199768066,41.47945022583008,37.83232116699219,40.32049560546875,48.001014709472656,33.340675354003906,19.65203094482422,25.313404083251953,37.43986892700195,33.321250915527344,12.887786865234375,15.870287895202637,20.84223175048828,39.912567138671875,38.398582458496094,18.269275665283203,26.567852020263672
2010-01-11,6.295527458190918,22.570350646972656,29.387922286987305,128.81626892089844,13.090155601501465,26.68702507019043,70.84333038330078,13.564749717712402,17.08257293701172,40.03688049316406,43.2752799987793,19.296052932739258,12.929061889648438,42.215389251708984,38.25678253173828,42.853057861328125,47.432167053222656,32.95917892456055,19.095975875854492,25.483705520629883,37.29119873046875,33.307525634765625,12.940557479858398,15.825247764587402,20.92514419555664,39.91878128051758,38.56768798828125,18.146087646484375,26.90216827392578
2010-01-12,6.223916530609131,22.42121696472168,28.701581954956055,126.00811004638672,13.072003364562988,26.227489471435547,71.40687561035156,13.344609260559082,17.267759323120117,40.255313873291016,43.31134796142578,19.20484733581543,13.053074836730957,41.97008514404297,38.066322326660156,41.59012222290039,47.089324951171875,33.39628601074219,18.973905563354492,24.810226440429688,37.7186164855957,33.52024459838867,12.952735900878906,15.574256896972656,20.759296417236328,40.1301155090332,37.8980598449707,16.825475692749023,26.59938621520996
2010-01-13,6.311706066131592,22.62999725341797,29.20315170288086,126.94670867919922,13.188969612121582,26.627460479736328,71.25365447998047,13.571221351623535,17.313295364379883,40.21034240722656,43.17221450805664,19.38279151916504,13.119854927062988,41.65169143676758,37.913944244384766,41.65025329589844,47.658164978027344,33.499595642089844,19.075620651245117,25.18954086303711,38.10888671875,33.63688659667969,12.936497688293457,15.857415199279785,21.522220611572266,40.38497543334961,38.236263275146484,16.877214431762695,26.693994522094727
2010-01-14,6.275152683258057,23.0848388671875,29.493526458740234,126.5412826538086,13.106290817260742,26.397689819335938,72.39170837402344,13.907913208007812,17.343660354614258,40.24888610839844,43.02792739868164,19.449527740478516,12.929061889648438,41.521217346191406,37.91938781738281,41.41636657714844,47.9698486328125,33.920833587646484,19.190906524658203,25.79334259033203,38.14604568481445,33.8153076171875,12.67265796661377,16.056922912597656,22.10824203491211,40.465789794921875,37.98599624633789,17.04722023010254,26.85169219970703
2010-01-15,6.170281887054443,23.010272979736328,28.826963424682617,124.04838562011719,12.98529052734375,26.040273666381836,72.10171508789062,13.467628479003906,17.088642120361328,40.01118087768555,42.960941314697266,19.160362243652344,12.80264949798584,41.35419464111328,37.60921096801758,40.44758224487305,47.393211364746094,33.69035339355469,19.374004364013672,26.12621307373047,37.67526626586914,33.47907638549805,12.412863731384277,15.70296573638916,21.820758819580078,40.1301155090332,38.0468635559082,16.909244537353516,26.889543533325195
