date,ticker,return,volatility,momentum,sma_ratio,vix_z
2019-03-21,AAPL,0.0368305761027929,,,,
2019-03-21,MSFT,0.0229746729117059,,,,
2019-03-21,JPM,-0.0157862395185973,,,,
2019-03-21,GS,0.0013380897519537,,,,
2019-03-21,NKE,0.0152266066812163,,,,
2019-03-21,DIS,-0.0120918203926003,,,,
2019-03-21,IBM,0.013180419934937,,,,
2019-03-21,INTC,0.0152360436519267,,,,
2019-03-21,KO,-0.0004393455742311,,,,
2019-03-21,MCD,0.0075690028098973,,,,
2019-03-21,MMM,0.0062888249056258,,,,
2019-03-21,V,0.0133334111656828,,,,
2019-03-21,WMT,0.0042581743763392,,,,
2019-03-21,CVX,0.0093832013792043,,,,
2019-03-21,XOM,0.0057793353955049,,,,
2019-03-21,CAT,0.0078945719025544,,,,
2019-03-21,BA,-0.0091982299044072,,,,
2019-03-21,AXP,0.0094791006412235,,,,
2019-03-21,HD,0.0207948753452764,,,,
2019-03-21,UNH,0.0060680744356134,,,,
2019-03-21,PG,0.007570059015665,,,,
2019-03-21,TRV,0.0231477361580862,,,,
2019-03-21,VZ,0.0107510086637212,,,,
2019-03-21,CSCO,0.0127676659552611,,,,
2019-03-21,MRK,0.0105989632600551,,,,
2019-03-21,JNJ,0.0059001018064994,,,,
2019-03-21,AMGN,0.0040288256911449,,,,
2019-03-21,CRM,0.0210383891586405,,,,
2019-03-21,HON,0.0138205800591988,,,,
2019-03-21,DOW,-0.0164656753441874,,,,
2019-03-22,AAPL,-0.0207083367800769,,,,
2019-03-22,MSFT,-0.0263681389635744,,,,
2019-03-22,JPM,-0.0302325034909416,,,,
2019-03-22,GS,-0.0288827834257932,,,,
2019-03-22,NKE,-0.0661286875884495,,,,
2019-03-22,DIS,-0.003957340739768,,,,
2019-03-22,IBM,-0.0140694927496919,,,,
2019-03-22,INTC,-0.0252563261731609,,,,
2019-03-22,KO,0.0092287559156396,,,,
2019-03-22,MCD,0.0023607145676227,,,,
2019-03-22,MMM,-0.0236153293738206,,,,
2019-03-22,V,-0.0175223583968201,,,,
2019-03-22,WMT,-0.0078744249230061,,,,
2019-03-22,CVX,-0.0220085682463907,,,,
2019-03-22,XOM,-0.016016402919732,,,,
2019-03-22,CAT,-0.0320006345628075,,,,
2019-03-22,BA,-0.0282532464842855,,,,
2019-03-22,AXP,-0.0211053953339174,,,,
2019-03-22,HD,-0.006421740424345,,,,
