date,ticker,return,volatility,momentum,sma_ratio,vix_z
2019-03-21,AAPL,0.0368303727817731,,,,
2019-03-21,MSFT,0.0229748616523453,,,,
2019-03-21,JPM,-0.0157862177912888,,,,
2019-03-21,GS,0.0013378041564442,,,,
2019-03-21,NKE,0.0152265093288912,,,,
2019-03-21,DIS,-0.0120919641238241,,,,
2019-03-21,IBM,0.0131807451105536,,,,
2019-03-21,INTC,0.0152358799739784,,,,
2019-03-21,KO,-0.0004396414429427,,,,
2019-03-21,MCD,0.0075686201887741,,,,
2019-03-21,MMM,0.0062892228175708,,,,
2019-03-21,V,0.0133329130714248,,,,
2019-03-21,WMT,0.0042579730818206,,,,
2019-03-21,CVX,0.0093831677518969,,,,
2019-03-21,XOM,0.0057794163517901,,,,
2019-03-21,CAT,0.0078941450637168,,,,
2019-03-21,BA,-0.0091983122152552,,,,
2019-03-21,AXP,0.0094791365193838,,,,
2019-03-21,HD,0.0207952878190977,,,,
2019-03-21,UNH,0.006068012697431,,,,
2019-03-21,PG,0.0075694908663344,,,,
2019-03-21,TRV,0.0231479924644464,,,,
2019-03-21,VZ,0.0107511523386403,,,,
2019-03-21,CSCO,0.0127678209059547,,,,
2019-03-21,MRK,0.0105993425905259,,,,
2019-03-21,JNJ,0.0059000186286666,,,,
2019-03-21,AMGN,0.0040290884652551,,,,
2019-03-21,CRM,0.0210385151665877,,,,
2019-03-21,HON,0.0138206875221968,,,,
2019-03-21,DOW,-0.0164657183901815,,,,
2019-03-22,AAPL,-0.020708231764777,,,,
2019-03-22,MSFT,-0.0263683307716029,,,,
2019-03-22,JPM,-0.0302325083697689,,,,
2019-03-22,GS,-0.0288826190673402,,,,
2019-03-22,NKE,-0.0661286794715942,,,,
2019-03-22,DIS,-0.0039572685702787,,,,
2019-03-22,IBM,-0.0140697739431856,,,,
2019-03-22,INTC,-0.0252561690234308,,,,
2019-03-22,KO,0.0092290081158179,,,,
2019-03-22,MCD,0.0023611937152385,,,,
2019-03-22,MMM,-0.0236154989349026,,,,
2019-03-22,V,-0.0175220298313671,,,,
2019-03-22,WMT,-0.0078741182089844,,,,
2019-03-22,CVX,-0.0220087028309298,,,,
2019-03-22,XOM,-0.0160168149382212,,,,
2019-03-22,CAT,-0.0320004548128449,,,,
2019-03-22,BA,-0.0282532464842855,,,,
2019-03-22,AXP,-0.0211052455918014,,,,
2019-03-22,HD,-0.0064221746309188,,,,
2019-03-22,UNH,-0.0195622055558866,,,,
2019-03-22,PG,-0.0080983740112473,,,,
2019-03-22,TRV,0.0039441564856976,,,,
2019-03-22,VZ,0.0252184624134383,,,,
2019-03-22,CSCO,-0.0222471523164985,,,,
2019-03-22,MRK,-0.0079563680319565,,,,
2019-03-22,JNJ,-0.0086167997698569,,,,
2019-03-22,AMGN,-0.0270466958325721,,,,
2019-03-22,CRM,-0.0326446369676959,,,,
2019-03-22,HON,-0.0165355704784742,,,,
2019-03-22,DOW,-0.0077582740169749,,,,
2019-03-25,AAPL,-0.0120910786203647,,,,
2019-03-25,MSFT,0.0052112315931669,,,,
2019-03-25,JPM,-0.0083199803871406,,,,
2019-03-25,GS,-0.0023814626650798,,,,
2019-03-25,NKE,0.0017030110602904,,,,
2019-03-25,DIS,-0.0040655251703816,,,,
2019-03-25,IBM,-0.0019358661740709,,,,
2019-03-25,INTC,-0.0090123400840358,,,,
2019-03-25,KO,0.0021772254579148,,,,
2019-03-25,MCD,-0.0058347388716557,,,,
2019-03-25,MMM,-0.0070850145811203,,,,
2019-03-25,V,-0.000261322849491,,,,
2019-03-25,WMT,-0.0011190877563852,,,,
2019-03-25,CVX,-0.0016247621462215,,,,
2019-03-25,XOM,-0.0069578549392942,,,,
2019-03-25,CAT,0.0124065709444181,,,,
2019-03-25,BA,0.0228897749876204,,,,
2019-03-25,AXP,-0.003836909707889,,,,
2019-03-25,HD,0.0049271271227389,,,,
2019-03-25,UNH,-0.0009308591644509,,,,
2019-03-25,PG,0.0029509601296735,,,,
2019-03-25,TRV,0.000370701160367,,,,
2019-03-25,VZ,0.0053551774608937,,,,
2019-03-25,CSCO,-0.0001894511466864,,,,
2019-03-25,MRK,0.0007293034010642,,,,
2019-03-25,JNJ,-0.0021911692945985,,,,
2019-03-25,AMGN,-0.0005892535709298,,,,
2019-03-25,CRM,-0.0038389569787989,,,,
2019-03-25,HON,0.0006421957946183,,,,
2019-03-25,DOW,0.0113170490378355,,,,
2019-03-26,AAPL,-0.0103316032153677,,,,
2019-03-26,MSFT,0.0021250280258169,,,,
2019-03-26,JPM,0.0100067956785916,,,,
2019-03-26,GS,0.0115642435146721,,,,
2019-03-26,NKE,0.0127536528337119,,,,
2019-03-26,DIS,0.0218017212286578,,,,
2019-03-26,IBM,0.0074721579769692,,,,
2019-03-26,INTC,0.0125047995080362,,,,
2019-03-26,KO,0.0132519980600172,,,,
2019-03-26,MCD,0.0094764822337332,,,,
2019-03-26,MMM,0.0198317848709861,,,,
2019-03-26,V,0.0148335562282584,,,,
2019-03-26,WMT,0.0015277735403989,,,,
2019-03-26,CVX,0.0100903536910834,,,,
2019-03-26,XOM,0.0130129496816664,,,,
2019-03-26,CAT,0.0035012954847195,,,,
2019-03-26,BA,-0.0002159442249808,,,,
2019-03-26,AXP,0.0042183513359339,,,,
2019-03-26,HD,-0.0017921918550011,,,,
2019-03-26,UNH,-0.0140562742624873,,,,
2019-03-26,PG,0.0103962974131059,,,,
2019-03-26,TRV,0.0002224166598896,,,,
2019-03-26,VZ,0.0091541806928983,,,,
2019-03-26,CSCO,0.0094822697950354,,,,
2019-03-26,MRK,0.0069215062284331,,,,
2019-03-26,JNJ,0.0143474589767234,,,,
2019-03-26,AMGN,0.0090037362518213,,,,
2019-03-26,CRM,-0.0091992186131275,,,,
2019-03-26,HON,0.0099403324509728,,,,
2019-03-26,DOW,-0.0061037552328699,,,,
2019-03-27,AAPL,0.0089938024691231,,,,
2019-03-27,MSFT,-0.009668502675649,,,,
2019-03-27,JPM,-0.0034024081528931,,,,
2019-03-27,GS,-0.0034611307335971,,,,
2019-03-27,NKE,-0.0034783982450027,,,,
2019-03-27,DIS,0.0012711501310693,,,,
2019-03-27,IBM,-0.0069889851688879,,,,
2019-03-27,INTC,-0.0052394146005668,,,,
2019-03-27,KO,-0.0006432648451186,,,,
2019-03-27,MCD,0.0001596782682729,,,,
2019-03-27,MMM,-0.0003859057697703,,,,
2019-03-27,V,-0.0069545057015659,,,,
2019-03-27,WMT,-0.0112896664346625,,,,
2019-03-27,CVX,-0.0107950887795442,,,,
2019-03-27,XOM,-0.0076583215735016,,,,
2019-03-27,CAT,-0.0048542688715333,,,,
2019-03-27,BA,0.0103407314986314,,,,
2019-03-27,AXP,-0.0047487360515667,,,,
2019-03-27,HD,-0.000475596376575,,,,
2019-03-27,UNH,-0.0069027106365743,,,,
2019-03-27,PG,-0.001164854420585,,,,
2019-03-27,TRV,0.0101494790860545,,,,
2019-03-27,VZ,0.0041233899953068,,,,
2019-03-27,CSCO,-0.0016910387810914,,,,
2019-03-27,MRK,-0.0075976906703716,,,,
2019-03-27,JNJ,0.0009378767511698,,,,
2019-03-27,AMGN,-0.0103574271307292,,,,
2019-03-27,CRM,-0.0268507928855203,,,,
2019-03-27,HON,-0.0023499682709944,,,,
2019-03-27,DOW,0.0255884234518297,,,,
2019-03-28,AAPL,0.0013266210114146,,,,
2019-03-28,MSFT,0.0013700942850713,,,,
2019-03-28,JPM,0.0113477541085238,,,,
2019-03-28,GS,0.0060518707031549,,,,
2019-03-28,NKE,0.0114338554861566,,,,
2019-03-28,DIS,0.0038991366550669,,,,
2019-03-28,IBM,0.0048836613418914,,,,
2019-03-28,INTC,-0.0009407358768442,,,,
2019-03-28,KO,-0.0006435782791324,,,,
2019-03-28,MCD,0.0100265368030569,,,,
2019-03-28,MMM,0.0066131190043374,,,,
2019-03-28,V,0.0029182459702092,,,,
2019-03-28,WMT,-0.0008230414155844,,,,
2019-03-28,CVX,0.0018729283219254,,,,
2019-03-28,XOM,0.0049786770700432,,,,
2019-03-28,CAT,0.0089175920389712,,,,
2019-03-28,BA,0.0006146181413395,,,,
2019-03-28,AXP,0.0016518519695598,,,,
2019-03-28,HD,0.0042800278231749,,,,
2019-03-28,UNH,0.0021514709758052,,,,
2019-03-28,PG,0.0063167432437045,,,,
2019-03-28,TRV,0.0040337669101555,,,,
2019-03-28,VZ,-0.0295665493468072,,,,
2019-03-28,CSCO,0.0041402600254902,,,,
2019-03-28,MRK,0.0041317402346801,,,,
2019-03-28,JNJ,0.0012980009401908,,,,
2019-03-28,AMGN,0.0071383453410382,,,,
2019-03-28,CRM,0.0003868016313968,,,,
2019-03-28,HON,0.0091021400891191,,,,
2019-03-28,DOW,0.0149699288330156,,,,
2019-03-29,AAPL,0.0065176303276281,,,,
2019-03-29,MSFT,0.008637824247375,,,,
2019-03-29,JPM,0.0051630939950755,,,,
2019-03-29,GS,0.0042365190015067,,,,
2019-03-29,NKE,0.0020228522484551,,,,
2019-03-29,DIS,0.0028904146373802,,,,
2019-03-29,IBM,0.0084333826706373,,,,
2019-03-29,INTC,0.0111089631454708,,,,
2019-03-29,KO,0.0060114043904879,,,,
2019-03-29,MCD,0.0026929005375155,,,,
2019-03-29,MMM,-0.0035967603835139,,,,
2019-03-29,V,0.0098270268313931,,,,
2019-03-29,WMT,0.0041182065270424,,,,
2019-03-29,CVX,0.0013005326881689,,,,
2019-03-29,XOM,0.000743289513821,,,,
2019-03-29,CAT,0.0235702356094029,,,,
2019-03-29,BA,0.0186412012743824,,,,
2019-03-29,AXP,0.0012823314090952,,,,
2019-03-29,HD,0.0096286540810381,,,,
2019-03-29,UNH,0.0207653594188024,,,,
2019-03-29,PG,0.0048285867523956,,,,
2019-03-29,TRV,0.0018989952427246,,,,
2019-03-29,VZ,0.0008464667694514,,,,
2019-03-29,CSCO,0.0118065865530343,,,,
2019-03-29,MRK,0.0065350511250226,,,,
2019-03-29,JNJ,0.0065522104775046,,,,
2019-03-29,AMGN,0.0124166900028004,,,,
2019-03-29,CRM,0.020556753109862,,,,
2019-03-29,HON,0.0023969735346356,,,,
2019-03-29,DOW,0.0153395210367321,,,,
2019-04-01,AAPL,0.0067911423408393,,,,
2019-04-01,MSFT,0.0091571489242674,,,,
2019-04-01,JPM,0.0336857529695,,,,
2019-04-01,GS,0.0247411200325573,,,,
2019-04-01,NKE,0.0121127104703113,,,,
2019-04-01,DIS,0.0133297196042383,,,,
2019-04-01,IBM,0.0155915922620852,,,,
2019-04-01,INTC,0.0150838197776355,,,,
2019-04-01,KO,-0.0029876415866978,,,,
2019-04-01,MCD,-0.0079515961533511,,,,
2019-04-01,MMM,0.0200211353634796,,,,
2019-04-01,V,0.0068509815261885,,,,
2019-04-01,WMT,0.0029735580928698,,,,
2019-04-01,CVX,0.0142882792112404,,,,
2019-04-01,XOM,0.0115100707543236,,,,
2019-04-01,CAT,0.0351316871505795,,,,
2019-04-01,BA,0.026532408503971,,,,
